probability p,quantile(p)
0.00233,-2.829642793
0.00234,-2.828272167
0.00235,-2.826906833
0.00236,-2.825546748
0.00237,-2.824191871
0.00238,-2.822842158
0.00239,-2.821497568
0.0024,-2.820158059
0.00241,-2.818823592
0.00242,-2.817494126
0.00243,-2.816169621
0.00244,-2.814850038
0.00245,-2.813535339
0.00246,-2.812225484
0.00247,-2.810920437
0.00248,-2.80962016
0.00249,-2.808324616
0.0025,-2.807033768
0.00251,-2.805747581
0.00252,-2.804466019
0.00253,-2.803189046
0.00254,-2.801916628
0.00255,-2.80064873
0.00256,-2.799385319
0.00257,-2.79812636
0.00258,-2.79687182
0.00259,-2.795621668
0.0026,-2.794375869
0.00261,-2.793134392
0.00262,-2.791897205
0.00263,-2.790664277
0.00264,-2.789435576
0.00265,-2.788211072
0.00266,-2.786990735
0.00267,-2.785774534
0.00268,-2.78456244
0.00269,-2.783354423
0.0027,-2.782150454
0.00271,-2.780950504
0.00272,-2.779754546
0.00273,-2.77856255
0.00274,-2.777374489
0.00275,-2.776190335
0.00276,-2.775010062
0.00277,-2.773833641
0.00278,-2.772661047
0.00279,-2.771492253
0.0028,-2.770327233
0.00281,-2.769165961
0.00282,-2.768008411
0.00283,-2.766854559
0.00284,-2.765704378
0.00285,-2.764557845
0.00286,-2.763414934
0.00287,-2.762275621
0.00288,-2.761139883
0.00289,-2.760007695
0.0029,-2.758879035
0.00291,-2.757753877
0.00292,-2.7566322
0.00293,-2.755513981
0.00294,-2.754399197
0.00295,-2.753287825
0.00296,-2.752179844
0.00297,-2.751075231
0.00298,-2.749973964
0.00299,-2.748876023
0.003,-2.747781385
0.00301,-2.74669003
0.00302,-2.745601937
0.00303,-2.744517085
0.00304,-2.743435453
0.00305,-2.742357021
0.00306,-2.741281769
0.00307,-2.740209678
0.00308,-2.739140726
0.00309,-2.738074896
0.0031,-2.737012166
0.00311,-2.735952519
0.00312,-2.734895936
0.00313,-2.733842396
0.00314,-2.732791882
0.00315,-2.731744376
0.00316,-2.730699858
0.00317,-2.729658311
0.00318,-2.728619717
0.00319,-2.727584058
0.0032,-2.726551317
0.00321,-2.725521475
0.00322,-2.724494515
0.00323,-2.723470421
0.00324,-2.722449176
0.00325,-2.721430761
0.00326,-2.720415162
0.00327,-2.719402361
0.00328,-2.718392342
0.00329,-2.717385088
0.0033,-2.716380583
0.00331,-2.715378813
0.00332,-2.714379759
0.00333,-2.713383408
0.00334,-2.712389743
0.00335,-2.711398749
0.00336,-2.71041041
0.00337,-2.709424712
0.00338,-2.70844164
0.00339,-2.707461178
0.0034,-2.706483312
0.00341,-2.705508027
0.00342,-2.704535309
0.00343,-2.703565143
0.00344,-2.702597515
0.00345,-2.701632411
0.00346,-2.700669816
0.00347,-2.699709718
0.00348,-2.698752102
0.00349,-2.697796954
0.0035,-2.696844261
0.00351,-2.695894009
0.00352,-2.694946186
0.00353,-2.694000778
0.00354,-2.693057771
0.00355,-2.692117153
0.00356,-2.691178911
0.00357,-2.690243032
0.00358,-2.689309503
0.00359,-2.688378313
0.0036,-2.687449447
0.00361,-2.686522895
0.00362,-2.685598643
0.00363,-2.684676679
0.00364,-2.683756992
0.00365,-2.68283957
0.00366,-2.6819244
0.00367,-2.68101147
0.00368,-2.68010077
0.00369,-2.679192287
0.0037,-2.67828601
0.00371,-2.677381927
0.00372,-2.676480027
0.00373,-2.6755803
0.00374,-2.674682733
0.00375,-2.673787315
0.00376,-2.672894037
0.00377,-2.672002886
0.00378,-2.671113852
0.00379,-2.670226924
0.0038,-2.669342092
0.00381,-2.668459345
0.00382,-2.667578672
0.00383,-2.666700063
0.00384,-2.665823508
0.00385,-2.664948997
0.00386,-2.664076519
0.00387,-2.663206064
0.00388,-2.662337622
0.00389,-2.661471184
0.0039,-2.660606739
0.00391,-2.659744277
0.00392,-2.65888379
0.00393,-2.658025267
0.00394,-2.657168698
0.00395,-2.656314075
0.00396,-2.655461387
0.00397,-2.654610626
0.00398,-2.653761782
0.00399,-2.652914846
0.004,-2.652069808
0.00401,-2.65122666
0.00402,-2.650385392
0.00403,-2.649545996
0.00404,-2.648708463
0.00405,-2.647872784
0.00406,-2.647038949
0.00407,-2.646206951
0.00408,-2.645376781
0.00409,-2.64454843
0.0041,-2.64372189
0.00411,-2.642897151
0.00412,-2.642074207
0.00413,-2.641253048
0.00414,-2.640433666
0.00415,-2.639616053
0.00416,-2.638800201
0.00417,-2.637986101
0.00418,-2.637173746
0.00419,-2.636363128
0.0042,-2.635554238
0.00421,-2.634747069
0.00422,-2.633941613
0.00423,-2.633137863
0.00424,-2.632335809
0.00425,-2.631535446
0.00426,-2.630736764
0.00427,-2.629939758
0.00428,-2.629144418
0.00429,-2.628350738
0.0043,-2.62755871
0.00431,-2.626768327
0.00432,-2.625979582
0.00433,-2.625192467
0.00434,-2.624406975
0.00435,-2.623623099
0.00436,-2.622840831
0.00437,-2.622060166
0.00438,-2.621281095
0.00439,-2.620503612
0.0044,-2.61972771
0.00441,-2.618953382
0.00442,-2.61818062
0.00443,-2.617409419
0.00444,-2.616639772
0.00445,-2.615871672
0.00446,-2.615105112
0.00447,-2.614340085
0.00448,-2.613576585
0.00449,-2.612814606
0.0045,-2.612054141
0.00451,-2.611295184
0.00452,-2.610537727
0.00453,-2.609781766
0.00454,-2.609027293
0.00455,-2.608274302
0.00456,-2.607522787
0.00457,-2.606772742
0.00458,-2.606024161
0.00459,-2.605277037
0.0046,-2.604531365
0.00461,-2.603787138
0.00462,-2.60304435
